city;guests;days;checkin;checkout;kind;title;stars;services[];score;n_comments;location;km_center;page;address;coord_lng;coord_lat;location_tag;location_score;location_comments;url;room;price;discount;facilities[];
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Hotel Be Live Adults Only Marivent;4;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];9.3;2567;Cala Major, Palma de Mallorca;4.1;1;Gavina, 9, Cala Major, 07015 Palma de Mallorca, España;2.60646343;39.55277571;excelente;8;911;;Suite;192;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Resort;Calanova Sports Residence;No-info;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];10;2503;San Agustín, Palma de Mallorca;4.8;1;327 Avinguda de Joan Miró, 07015 Palma de Mallorca, España;2.598812;39.549883;excelente;8;2117;;Habitación Doble - 1 o 2 camas;103;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hostal;Hostal Bonany;No-info;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];9;2172;Palma de Mallorca;1.9;1;Almirante Cervera 5, 07014 Palma de Mallorca, España;2.62604758;39.56855031;excelente;5.5;2102;;Habitación Doble Estándar;64;€;0;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Hotel Abelay;2;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];7;1577;Palma de Mallorca;1.5;1;Pablo Iglesias nº49, 07004 Palma de Mallorca, España;2.65491486;39.58280402;excelente;6;608;;Habitación Doble - 1 o 2 camas;164;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Melia Palma Bay;4;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];6;720;Palma de Mallorca;1.7;1;Calle Felicià Fuster,4, 07006 Palma de Mallorca, España;2.66261926;39.56330709;excelente;5.5;695;;Habitación Doble - 1 o 2 camas;93;€;0;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Hotel Amic Horizonte;3;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];6;729;Palma de Mallorca;2.8;1;Vista Alegre, 1, 07015 Palma de Mallorca, España;2.62145832;39.55543522;excelente;8.5;2911;;Habitación Doble - 1 o 2 camas;111;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hostal;Hostal Pons;1;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];6;2896;Centro histórico de Palma, Palma de Mallorca;0.25;1;Calle del Vi 8, 07012 Palma de Mallorca, España;2.64418334;39.57047627;excelente;8;2620;;Habitación Doble con baño compartido;145;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Hotel Colon;3;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];7;2633;Palma de Mallorca;1.2;1;Carrer 31 de Desembre, 31, 07003 Palma de Mallorca, España;2.65225679;39.58058899;excelente;8.5;308;;Habitación Doble con baño compartido;102;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;UR Palacio Avenida;4;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];6;1525;Palma de Mallorca;0.85;1;Marqués de Fontsanta, 2, 07005 Palma de Mallorca, España;2.65493765;39.57539275;excelente;5.5;1678;;Suite;184;€;0;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Abelux;2;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];8;1869;Palma de Mallorca;1.3;1;Ramón Muntaner, 30, 07003 Palma de Mallorca, España;2.65051335;39.58185208;excelente;7.5;2006;;Suite Junior;60;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Eurostars Marivent;4;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];6.5;1742;Cala Major, Palma de Mallorca;3.7;1;Dina Moore, 6, Cala Major, 07015 Palma de Mallorca, España;2.6112143;39.55245991;excelente;8;2598;;Suite;90;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Innside by Melia Palma Bosque;4;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];10;2242;Palma de Mallorca;1.9;1;Camilo José Cela, 5, 07014 Palma de Mallorca, España;2.62585178;39.56675767;excelente;6;2445;;Habitación Doble - 2 camas;77;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Sercotel Hotel Zurbarán;3;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];6;2919;Palma de Mallorca;2.1;1;Josep Villalonga, 16, 07014 Palma de Mallorca, España;2.62443826;39.56442116;excelente;8.5;2340;;Suite;95;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Hotel Saratoga;4;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];9;1376;Centro histórico de Palma, Palma de Mallorca;0.45;1;Paseo Mallorca, 6, 07012 Palma de Mallorca, España;2.64217168;39.57178916;excelente;9.5;2893;;Habitación Doble con baño compartido;44;€;1;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
"Palma de Mallorca;2;2;01/11/2021;02/11/2021;Hotel;Hesperia Ciudad de Mallorca;4;['1 piscina', 'Bar', 'Centro de fitness', 'Muy buen desayuno', 'Restaurante', 'Situado frente a la playa', 'Spa y centro de bienestar', 'WiFi en todo el alojamiento'];5.5;2585;Palma de Mallorca;2.9;1;Francisco Vidal Sureda, 24, 07015 Palma de Mallorca, España;2.62108147;39.55571026;excelente;10;720;;Suite Junior;58;€;0;['20 m²', 'Aire acondicionado', 'Balcón', 'Baño en la habitación', 'Cafetera', 'Minibar', 'TV de pantalla plana', 'Vistas al mar', 'WiFi gratis']"
